run_id	group	n	mean	p10	p50	p90	sum_notional	wmean_markout	markout_cost
flow_base_thrP95__20251221_1607	ask|sv>+thr	53	-0.0141509	-0.8	0	0.5	14326.6	-0.0114629	-164.224
flow_base_thrP95__20251221_1607	ask|sv<-thr	28	-0.0642857	-0.295	0	0.59	4002.87	0.0267209	106.96
flow_base_thrP95__20251221_1607	bid|sv<-thr	50	0.024	-0.51	0	0.4	14232.2	0.0184745	262.933
flow_base_thrP95__20251221_1607	bid|sv>+thr	34	0.264706	-0.37	0	0.8	5692	0.216764	1233.82
flow_base_thrP95__20251221_1637	ask|sv>+thr	65	0.0284615	-0.72	0	0.5	18465.3	0.0317914	587.038
flow_base_thrP95__20251221_1637	ask|sv<-thr	39	-0.0282051	-0.46	0	0.86	5620.96	0.0194585	109.375
flow_base_thrP95__20251221_1637	bid|sv<-thr	68	0.0205882	-0.5	0	0.4	19370	-0.0036375	-70.4584
flow_base_thrP95__20251221_1637	bid|sv>+thr	43	0.217442	-0.38	0	0.8	6567.43	0.221697	1455.98
flow_base_thrP95__20251221_1707	ask|sv>+thr	82	0.0731707	-0.4	0	0.635	23880.4	0.0766672	1830.85
flow_base_thrP95__20251221_1707	ask|sv<-thr	72	-0.0930556	-0.89	0	0.6	9360.82	-0.0696585	-652.061
flow_base_thrP95__20251221_1707	bid|sv<-thr	97	0.0469072	-0.6	0	0.6	26329.8	-0.00403475	-106.234
flow_base_thrP95__20251221_1707	bid|sv>+thr	50	0.136	-0.41	0	0.7	7564.87	0.183001	1384.38
flow_sym_size_thrP95_f03__20251221_0737	ask|sv>+thr	56	-0.04375	-0.35	0	0.1	4840.82	-0.0598252	-289.603
flow_sym_size_thrP95_f03__20251221_0737	ask|sv<-thr	12	-0.0541667	-0.295	0	0.09	1544.92	-0.0970042	-149.864
flow_sym_size_thrP95_f03__20251221_0737	bid|sv<-thr	20	0.0225	-0.11	0	0.255	1785.52	0.0224585	40.1001
flow_sym_size_thrP95_f03__20251221_0737	bid|sv>+thr	26	0.0884615	0	0	0.45	4531.72	0.0981121	444.616
flow_sym_size_thrP95_f03__20251221_0807	ask|sv>+thr	39	0.0128205	-0.1	0	0.1	3323.13	-0.00786455	-26.135
flow_sym_size_thrP95_f03__20251221_0807	ask|sv<-thr	22	-0.0340909	-0.295	0	0.1	2511.91	-0.0308572	-77.5105
flow_sym_size_thrP95_f03__20251221_0807	bid|sv<-thr	57	0.0236842	-0.1	0	0.2	5090.61	0.0236688	120.489
flow_sym_size_thrP95_f03__20251221_0807	bid|sv>+thr	21	0.1	0	0	0.5	3841.98	0.0955175	366.977
flow_sym_size_thrP95_f03__20251221_0837	ask|sv>+thr	43	0.0348837	-0.1	0	0.18	3595.65	0.0175105	62.9617
flow_sym_size_thrP95_f03__20251221_0837	ask|sv<-thr	26	-0.00769231	-0.225	0	0.125	3431.81	0.00471832	16.1924
flow_sym_size_thrP95_f03__20251221_0837	bid|sv<-thr	69	0.0101449	-0.11	0	0.1	6161.02	0.0101268	62.3913
flow_sym_size_thrP95_f03__20251221_0837	bid|sv>+thr	23	0.0695652	0	0	0.36	4319.33	0.073235	316.326
flow_sym_size_thrP95_f03__20251221_0907	ask|sv>+thr	51	0.0196078	-0.4	0	0.3	4218.11	0.00792843	33.443
flow_sym_size_thrP95_f03__20251221_0907	ask|sv<-thr	35	0.228571	-0.16	0	0.36	4221.74	-0.0314588	-132.811
flow_sym_size_thrP95_f03__20251221_0907	bid|sv<-thr	87	0.0109195	-0.2	0	0.28	7753.23	0.0112432	87.1713
flow_sym_size_thrP95_f03__20251221_0907	bid|sv>+thr	25	0.048	-0.06	0	0.2	5544.61	0.0645117	357.693
